 ,  ,performance
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8571428571428571
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8888888888888888
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9
12:00,precision,0.5
12:00,recall,1.0
12:00,savedEffort,0.8181818181818182
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9166666666666666
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.875
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8333333333333334
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8571428571428571
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9090909090909091
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9166666666666666
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9230769230769231
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8571428571428571
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8333333333333334
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,0.2
18:00,recall,1.0
18:00,savedEffort,0.0
18:00,precision,0.2
18:00,recall,1.0
18:00,savedEffort,0.0
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,1.0
18:00,recall,0.3333333333333333
18:00,savedEffort,0.8
18:00,precision,1.0
18:00,recall,0.3333333333333333
18:00,savedEffort,0.8
18:00,precision,1.0
18:00,recall,0.3333333333333333
18:00,savedEffort,0.8
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.6666666666666666
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.6666666666666666
18:00,precision,0.75
18:00,recall,1.0
18:00,savedEffort,0.5
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8333333333333334
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,0.5
18:00,savedEffort,0.8333333333333334
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.5
18:00,precision,1.0
18:00,recall,0.3333333333333333
